data number	reference number	common formula of materials	full material name	shape	structure	lattice constant a	lattice constant b	lattice constant c	lattice alpha	lattice beta	lattice gamma	Tc at pcrit or Tc at atmospheric pressure	maximum tc under pressure	applied pressure for tcmax	Critical pressure/GPa at which Tc can be observed	tc measurement method	alpha in Tc=A*M^(-alpha), isotope effect	isotope element	slope at P=0 in Tc vs P plot 	lowest temperature for measurement (not superconducting)	Hc1 at 0 K for poly crystal	Hc2 at 0 K for poly crystal	-slope in Hc2 vs T at Tc for poly crystal	coherence length at 0 K for poly crystal	penetration depth at 0 K for poly crystal	Ginzburg-Landau order parameter	energy gap at 0 K, delta(0)	method of measuring energy gap	coefficient of electronic specific heat	Debye temperature	Curie temperature	Neel temperature	figure1 file name	figure2 filename	figure description	table file name	table description	comment	figure1 data file name	f2 data file name	title	year	keyword	institute	journal	author	sample	comments
num	refno	name	fullname	shape	str	lata	latb	latc	alpha	beta	lgamma	tc	tcmax	pmax	pcrit	tcmeth	isotope	isoel	dtcdp	tcn	hc1zero	hc2zero	dhc2dt	cohere	penet	glpar	gap	gapmeth	gamma	debyet	curiet	neelt	fig1	fig2	figname	tbl	tblname	commt	f1_filename	f2_filename	title	year	keyword	institute	journal	author	sample	comments
187	PR03302046	I3	beta<L>-(BEDT-TTF)2I3	2	BEDT-TTF							1.5			0														24.3	197											Specific heat of the ambient-pressure organic superconductor beta-di[bis(ethylenedithio)tetrathiafulvalene] triiodide [beta-(BEDT-TTF)2I3]	1986	O-187		Phys.Rev.B, 33(1986)2046	F.Gross,G.R.Stewart,G.W.Crabtree,H.H.Wang,J.M.Williams,J.O'Rourke,K.Andres,K.D.Carlson		
188	PR03406509	AuI2	beta-(BEDT-TTF)2AuI2	2	BEDT-TTF							4.88			0														20									Tc by AC-sus. SP-heat measured for 1.9<T<6.2 K. no anomaly at Tc			Bulk superconducting specific-heat anomaly in beta-di[bis(ethylenedithio)tetrathiafulvalene] diiodoaurate [beta-(ET)2AuI2]	1986	O-188	University of Florida, Florida, USA	Phys.Rev.B, 34(1986)6509	G.R.Stewart,H.H.Wang,J.M.Williams,K.D.Carlson,L.N.Hall,M.T.Perozzo		
189	PR04011345	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.4			0														25	215								sample(20 single crystals, total 3.9 mg). SP-heat measured for 1.5<T<12 K upto H=12.5 T. (delta-C/gamma*Tc) = 2.8.			Specific heat in high magnetic field of kappa-di[bis(ethylenedithio)tetrathiafulvalene] -di(thiocyano)cuprate [kappa-(ET)2Cu(NCS)2]: Evidence for strong-coupling superconductivity	1989	O-189	University of Florida, Florida, USA	Phys.Rev.B, 40(1989)11345	B.Andraka,G.R.Stewart,H.H.Wang,J.M.Williams,J.S.Kim,K.D.Carlson		
190	PR05012747	I3	kappa-(BEDT-TTF)2I3	2	BEDT-TTF							3.4			0														18.9	218								SP-heat measured for field  upto H=0.5 T perpendicular to bc-plane. (delta-C/gamma*Tc) = 1.6.			Specific heat of the organic superconductor k-(BEDT-TTF)2I3	1994			Phys.Rev.B.,50(1994) 12747-12751	D.Schweitzer,H.J.Keller,J.Wosnitza,X.Liu	ORGANIC	
191	PR05212890	KHg(SCN)4	alpha-(BEDT-TTF)2KHg(SCN)4		BEDT-TTF																								6.4	223								not SC. sample(total 10.9 mg). SP-heat measured for 0.25 < T < 1.7 K upto H=8 T.			Characterization of low-temoerature electronic states of the organic conductors %+-(BEDT-TTF)2MHg(SCN)4(M=K, RD, and NH4)by specific-heat measurements	1995		Institute for Molecular Science, Myodaiji, Okazaki, Aichi 444, Japan	Phys. Rev.B,52(1995)12890	A.Kawamoto,K.Kanoda,Y.Nakazawa	K, Rb, Organic	
192	PR05212890	RbHg(SCN)4	alpha-(BEDT-TTF)2RbHg(SCN)4		BEDT-TTF																								7.1	226								not SC. sample(total 13.9 mg). SP-heat measured for 0.25 < T < 1.7 K upto H=8 T.			Characterization of low-temoerature electronic states of the organic conductors %+-(BEDT-TTF)2MHg(SCN)4(M=K, RD, and NH4)by specific-heat measurements	1995		Institute for Molecular Science, Myodaiji, Okazaki, Aichi 444, Japan	Phys. Rev.B,52(1995)12890	A.Kawamoto,K.Kanoda,Y.Nakazawa	K, Rb, Organic	
193	PR05212890	(NH4)Hg(SCN)4	alpha-(BEDT-TTF)2(NH4)Hg(SCN)4		BEDT-TTF							1.1			0														27.7	221								sample(total 10.8 mg). SP-heat measured for 0.25 < T < 1.7 K upto H=8 T.			Characterization of low-temoerature electronic states of the organic conductors %+-(BEDT-TTF)2MHg(SCN)4(M=K, RD, and NH4)by specific-heat measurements	1995		Institute for Molecular Science, Myodaiji, Okazaki, Aichi 444, Japan	Phys. Rev.B,52(1995)12890	A.Kawamoto,K.Kanoda,Y.Nakazawa	K, Rb, Organic	
194	PR04209963	(NH4)Hg(SCN)4	alpha-(BEDT-TTF)2(NH4)Hg(SCN)4		BEDT-TTF							1			0								3						29	230								SP-heat measured down to 0.3K. (delta-C/gamma*Tc) = 1.1 +- 0.2. -(dHc2/dT) in DB for H//ac. For H//b*, value is 0.1 +- 0.02 T/K.			Specfic heat in zero and applied magnetic fields of the organic superconductor alpha-di[bis(ethylenedithio)tetrathiafulvalene]-ammonium-tetra(thiocyanato)mercurate [alpha-(ET)2(NH4)Hg(SCN)4]	1990	O-194		Phys.Rev.B, 42(1990)9963	B.Andraka,G.R.Stewart,H.H.Wang,J.M.Williams,K.D.Carlson,M.D.Vashon		
195	PR04915849	Cu[N(CN)2]Cl	kappa-(BEDT-TTF)2Cu[N(CN)2]Cl	2	BEDT-TTF							12.5	12.5	0.031	0.016																							complete SC state at Tc2=5.2 K under P=310 bar. Ferrimagnetic below T=15 K.			Reentrant Meissner effect in the organic conductor kappa-(BEDT-TTF)2Cu[N(CN)2]Cl under pressure	1994	O-195		Phys.Rev.B, 49(1994)15849	G.Saito,H.Muller,H.Posselt,K.Andres		
196	CL19990333	Cl2TCNQ	(BETS)2(Cl2TCNQ)		BETS							1.3	1.3	0.35	0.35																							SC transition for 3.5=< P <8 kbar. Some are SC at ambient pressure.			Donor-acceptor type superconductor, (BETS)2(ClTCNQ)	1999	O-196		Chem. Lett., 1999(1999)333	R.Kondo,et al		
197	CL19931559	GaCl4	ramda-(BETS)2GaCl4		BETS	16.156	18.934	6.595	96.06	96.76	115.77	8			0																							space-G= P1<->. vol = 1776.3 A3. Tc(on) = 9.5 K.			A new organic superconductor, ramda-(BEDT-TSF)2GaCl4	1993	O-197		Chem. Lett., 1993(1993)1559	H.Kobayashi,et al.		
198	CL19870507	I3	kappa-(BEDT-TTF)2I3		BEDT-TTF	16.387	8.466	12.832		108.56		3.6			0																										A new ambient -pressure superconductor, kappa-(BEDT-TTF)2I3	1987	O-198		Chem. Lett., 1987(1987)507	R.Kato,et al		
199	MOL1190361	I3	beta-(BEDT-TTF)2I3		BEDT-TTF	6.609	9.083	15.267	85.63	95.62	70.22	1.5			0																							space-G= P1<->. vol = 852 A3.				1985	O-199		Mol.Cryst.Liq.Cryst., 119(1985)361	R.P.Shibaeva,et al		
200	MOL1190361	(I3)2.5	gamma-(BEDT-TTF)2(I3)2.5		BEDT-TTF	13.76	14.73	33.61	90	90	90	2.5			0																							space-G= Pbnm. vol = 6812 A3.				1985	O-199		Mol.Cryst.Liq.Cryst., 119(1985)361	R.P.Shibaeva,et al		
201	CL19860789	I3	theta-(BEDT-TTF)2I3		BEDT-TTF	10.076	33.853	4.964				3.6			0																							space-G= Pnma. vol = 1693 A3. system: pseudo orthorhombic			A new molecular superconductor, (BEDT-TTF)2(I3)1-x(AuI2)x (x<0.02)	1986	O-201		Chem. Lett., 1986(1986)789	H.Kobayashi,et al		
202	ACS1189996	SF5CH2CF2SO3	beta''-(BEDT-TTF)2SF5CH2CF2SO3		BEDT-TTF							5.2			0																										Superconductivity at 5.2 K in an electron donor radical salt of bis(ethylenedithio)tetrathiafulvalene(BEDT-TTF) with the novel polyfluorinated organic anion SF5CH2CF2SO3-	1996	O-202		J.Am.Chem.Soc., 118(1996)9996	H.H.Wang,J.A.Schlueter,Urs Geiser,et al		
203	AC12111243	FeCl4	ramda-(BETS)2FeCl4		BETS							1.8	1.8	0.3	0.3				-5													8						ramda-type (triclinic)			Pressure-induced superconducting transition of ramda-(BETS)2FeCl4 with pai-d coupled antiferromagnetic insulating ground state at ambient pressure [BETS=bis(ethylenedithio)tetraselenafulvalene]	1999	O-203		J.Am.Chem.Soc., 121(1999)11243	A.Kobayashi,E.Ojima,H.Fujiwara,H.Kobayashi,H.Tanaka,K.Kato,P.Cassoux,T.Adachi		
204	ACS1215581	4-Feb	kappa-(BETS)2FeBr4		BETS							1			0																-5.5	2.5						Both for H// and H#, SUS obeys C-W law (100-300 K). Hc2(0.6K) = 70 Oe.			Antiferromagnetic organic metal exhibiting superconducting transition, kappa-(BETS)2FeBr4 [BETS = bis(ethylenedithio)tetraselenafulvalene]	1999	O-204		J.Am.Chem.Soc., 121(1999)5581	A.Kobayashi,E.Ojima,H.Fujiwara,H.Kobayashi,H.Tanaka,K.Kato,M.Tokumoto,P.Cassoux		
205	INO0233839	IBr2	beta-(BEDT-TTF)2IBr2		BEDT-TTF							2.7			0																							meta stable phase has Tc=4.22 K.			Ambient-pressure superconductivity at 2.7 K and higher temperatures in derivatives of (BEDT-TTF)2IBe2: Synthesis, structure, and detection of superconductivity	1984	O-205		Inorg.Chem., 23(1984)3839	F.Behroozi,G.W.Crabtree,H.H.Wang,J.M.Williams,K.D.Carlson,L.M.Sowa,L.N.Hall,M.A.Reno,P.T.Copps,T.J.Emge		
206	INO0242465	AuI2	beta-(BEDT-TTF)2AuI2		BEDT-TTF							4.98			0				10																			volume =828.7 A3.			Ambient-pressure superconductivity at the highest temperature (5K) observed in an organic system: beta-(BEDT-TTF)2AuI2	1985	O-206		Inorg.Chem., 24(1985)2465	G.W.Crabtree,H.H.Wang,J.E.Schirber,J.F.Kwak,J.M.Williams,K.D.Carlson,K.S.Webb,L.J.Azevedo,L.Nunez,M.A.Firestone,M.A.Reno,Urs Geiser		
207	SSC0800843	Cu[N(CN)2]CN	kappa-(BEDT-TTF)2Cu[N(CN)2]CN		BEDT-TTF							10.7			0																										NEW AMBIENT-PRESSURE ORGANIC SUPERCONDUCTORS BASED ON BEDT-TTF,CU,N(CN)2 AND CN WITH TC=10.7K AND 3.8K	1991		DEPARTMENT OF CHEMISTRY,FACULTY OF SCIENCE,KYOTO UNIVERSITY,SAKYO-KU,KYOTO 606-01,JAPAN	SOLID STATE COMMUN.,80(1991)843	G.Saito,H.Ito,H.Yamochi,K.Sakaguchi,M.Kusunoki,N.Matsukawa,T.Ishiguro,T.Komatsu,T.Nakamura		
208	SSC0800843	Cu[N(CN)2]CN:2H2O	kappa-(BEDT-TTF)2Cu[N(CN)2]CN:2H2O		BEDT-TTF							3.8			0																										NEW AMBIENT-PRESSURE ORGANIC SUPERCONDUCTORS BASED ON BEDT-TTF,CU,N(CN)2 AND CN WITH TC=10.7K AND 3.8K	1991		DEPARTMENT OF CHEMISTRY,FACULTY OF SCIENCE,KYOTO UNIVERSITY,SAKYO-KU,KYOTO 606-01,JAPAN	SOLID STATE COMMUN.,80(1991)843	G.Saito,H.Ito,H.Yamochi,K.Sakaguchi,M.Kusunoki,N.Matsukawa,T.Ishiguro,T.Komatsu,T.Nakamura		
209	SSC0800411	Pt(CN)4:H2O	(BEDT-TTF)4Pt(CN)4:H2O		BEDT-TTF	11.514	16.704	9.563	91.22	112.3	75.48		2	0.65	0.5																							triclinic. space-G=P1(-). M-I transition at 120 K(P=0).			SUKPERCONDUCTIVITY IN (BEDT-TTF)4PT(CN)4H2O	1991		INTERNATIONAL SUPERCONDUCTIVITY TECHNOLOGY CENTER,MUTSUNO NAGOYA 456,JAPAN	SOLID STATE COMMUN.,80(1991)411	H.Inokuchi,H.Mori,I.Hirabayashi,S.Tanaka,T.Mori,Y.Murayama		
210	SSC0760035	Ag(CN)2:H2O	kappa-(BEDT-TTF)2Ag(CN)2:H2O		BEDT-TTF	16.053	8.635	12.661		109.27		5			0																							monoclinic.			A NEW AMBIENT-PRESSURE ORGANIC SUPERCONDUCTOR,K-(BEDT-TTF)2AG(CN)2H2O (TC=5.0 K)	1990			SOLID STATE COMMUN,76(1990)35	H.Inokuchi,H.Mori,I.Hirabayashi,S.Tanaka,T.Mori		
211	SSC0641279	I3	kappa-(BEDT-TTF)2I3		BEDT-TTF	16.39	8.47	12.83		108.56		3.6			0							6.8		359														monoclinic. space-G=P2<1>/C. RRR=57.3. I//bc-plane(conduction plane). Hc2(n)=0.256T. COHERE(n) = 13.5 A. For I(n), Tc=3.55 K and RRR=385.			NEW ORGANIC SUPERCONDUCTORS K-AND    (BEDT-TTF)2I3: TRANSPORTPROPERTY	1987			SOLID STATE COMMUN.,64(1987)1279	A.Kobayashi,H.Kobayashi,K.Kajita,R.Kato,S.Moriyama,W.Sasaki,Y.Nishio		
212	SSC0641279	I3	theta-(BEDT-TTF)2I3		BEDT-TTF	10.076	33.85	4.964				3.6			0							0.228		380														orthorhombic. RRR=181. I//ac-plane(conduction plane). Hc2(0) in DB shows Hc2(n).			NEW ORGANIC SUPERCONDUCTORS K-AND    (BEDT-TTF)2I3: TRANSPORTPROPERTY	1987			SOLID STATE COMMUN.,64(1987)1279	A.Kobayashi,H.Kobayashi,K.Kajita,R.Kato,S.Moriyama,W.Sasaki,Y.Nishio		
213	SYN1140243	HgCl3:TCE	(BEDT-TTF)2HgCl3:TCE		BEDT-TTF	39.236	6.676	14.881	90	95.589	90									154																		not SC down to 154 K. semiconductor like (activation energy = 0.308 eV). density = 2.071 g/cm3.			Structure and electrical conductivity of (BEDT-TTF)2HgCl3:TCE	2000	O-213	University of Jinan, China	Synth.Metals, 114(2000)243	Chen Shen-Hao,Fang Qi,Jiang Min-Hua,Liu Zhi,Yu Wen-Tao,Zhang Bin,Zhang Jin-Biao,Zhu Dao-Ben		
214	PHC3880595	Hg2.89Br8	kappa-(BEDT-TTF)4Hg2.89Br8		BEDT-TTF							4.3			0														20	7								Debye-T = 7 K for 3-D and  150 K for 1-D analysis using Tarasov's model.			Low-temperature heat capacity measurements of kappa-(BEDT-TTF)4Hg2.89Br8	2003	O-214	Research Center for Molecular Thermodynamics, Osaka-University,Toyonaka, Osaka, Japan	Physica C, 388-389(2003)595	A.Naito,H.Taniguchi,K.Kanoda,K.Saito,M.Sorai,Y.Nakazawa		
215	SSC0820177	Pd(CN)4H2O	(BEDT-TTF)4Pd(CN)4H2O		BEDT-TTF	11.529	16.685	9.562	91.32	112.29	75.63	1.2			0.7																							M-Semicond transition at 250 K. thermopower also measured.			STRUCTURAL AND PHYSICAL PROPERTIES OF A NEW ORGANIC SUPERCONDUCTOR,(BEDT-TTF)4PD(CN)4H2O	1992			SOLID STATE COMMUN.82(1992)177	H.Inokuchi,H.Mori,I.Hirabayashi,K.Kato,S.Tanaka,T.Mori,Y.Murayama		
216	P071024531	SbF6	beta-(BDA-TTP)2SbF6	2	BDA-TTP							6.5			0																		OHC216					Thermal conductivity (THC) was measured for various H. Hc2(T) determined from THC and R measurements.	OHC216.dat		Thermal conductivity of layered organic superconductor beta-(BDA-TTP)2SbF6 in a parallel magnetic field: Anomalous effect of coreless vortices	2005		Department of Physics, Kyoto University, Kyoto 606-8502, Japan	Phys.Rev.B, 71(2005)024531	J.Yamada,M.A.Tanatar,T.Ishiguro,T.Toita		
217	PHB2940427	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2	BEDT-TTF							11.9			0																		OHC217					Hc2//conduction plane from resistive transition. out-of-plane resistivity.	OHC217.dat		Upper critical field of kappa-(ET)2Cu[N(CN)2]Br under parallel magnetic fields	2001			Physica B, 294-295(2001)427	A.Ayari,A.E.Kovalev,E.Ohmichi,G.Saito,H.Yamochi,P.Monceau,S.Kamiya,T.Ishiguro,Y.Shimojo		
218	PR06111739	SF5CH2CF2SO3	beta''-(BEDT-TTF)2SF5CH2CF2SO3	2	BEDT-TTF							4.75			0				3.9			10.4		7.9									OHC218					thermal expansion coeff. were measured for 3 directions. uniaxial pressure, a-axis.	OHC218.dat		Comparative thermal-expansion study of beta ''-(ET)2SF5CH2CF2SO3 and kappa -(ET)2Cu(NCS)2: Uniaxial pressure coefficients of Tc and upper critical fields	2000			Phys.Rev.B, 61(2000)11739	A.M.Kini,F.Steglich,G.L.Gard,J.A.Schlueter,J.Mohtasham,J.Muller,M.Lang,N.Toyota,R.W.Winter,T.Sasaki,U.Geiser		
219	PR06111739	SF5CH2CF2SO3	beta''-(BEDT-TTF)2SF5CH2CF2SO3	2	BEDT-TTF							4.75			0				39			10.4		7.9														thermal expansion coeff. were measured for 3 directions. uniaxial pressure, b-axis.			Comparative thermal-expansion study of beta ''-(ET)2SF5CH2CF2SO3 and kappa -(ET)2Cu(NCS)2: Uniaxial pressure coefficients of Tc and upper critical fields	2000			Phys.Rev.B, 61(2000)11739	A.M.Kini,F.Steglich,G.L.Gard,J.A.Schlueter,J.Mohtasham,J.Muller,M.Lang,N.Toyota,R.W.Winter,T.Sasaki,U.Geiser		
220	PR06111739	SF5CH2CF2SO3	beta''-(BEDT-TTF)2SF5CH2CF2SO3	2	BEDT-TTF							4.6			0				-59			1.4		144														thermal expansion coeff. were measured for 3 directions. uniaxial pressure, c-axis.			Comparative thermal-expansion study of beta ''-(ET)2SF5CH2CF2SO3 and kappa -(ET)2Cu(NCS)2: Uniaxial pressure coefficients of Tc and upper critical fields	2000			Phys.Rev.B, 61(2000)11739	A.M.Kini,F.Steglich,G.L.Gard,J.A.Schlueter,J.Mohtasham,J.Muller,M.Lang,N.Toyota,R.W.Winter,T.Sasaki,U.Geiser		
221	PR06111739	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							9.95			0				34.4																			thermal expansion coeff. were measured for 3 directions. uniaxial pressure, c-axis(in plane).			Comparative thermal-expansion study of beta ''-(ET)2SF5CH2CF2SO3 and kappa -(ET)2Cu(NCS)2: Uniaxial pressure coefficients of Tc and upper critical fields	2000			Phys.Rev.B, 61(2000)11739	A.M.Kini,F.Steglich,G.L.Gard,J.A.Schlueter,J.Mohtasham,J.Muller,M.Lang,N.Toyota,R.W.Winter,T.Sasaki,U.Geiser		
222	PR06111739	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							9.95			0				-1.4																			thermal expansion coeff. were measured for 3 directions. uniaxial pressure, b-axis(in plane).			Comparative thermal-expansion study of beta ''-(ET)2SF5CH2CF2SO3 and kappa -(ET)2Cu(NCS)2: Uniaxial pressure coefficients of Tc and upper critical fields	2000			Phys.Rev.B, 61(2000)11739	A.M.Kini,F.Steglich,G.L.Gard,J.A.Schlueter,J.Mohtasham,J.Muller,M.Lang,N.Toyota,R.W.Winter,T.Sasaki,U.Geiser		
223	PR06111739	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							9.95			0				-62																			thermal expansion coeff. were measured for 3 directions. uniaxial pressure, a*-axis(out-of-plane).			Comparative thermal-expansion study of beta ''-(ET)2SF5CH2CF2SO3 and kappa -(ET)2Cu(NCS)2: Uniaxial pressure coefficients of Tc and upper critical fields	2000			Phys.Rev.B, 61(2000)11739	A.M.Kini,F.Steglich,G.L.Gard,J.A.Schlueter,J.Mohtasham,J.Muller,M.Lang,N.Toyota,R.W.Winter,T.Sasaki,U.Geiser		
224	JPS0710717	SbF6	beta-(BDA-TTP)2SbF6		BDA-TTP							6.31			0						0.5	12		105	6800	260			33									H//conduction plane. thermodynamic Hc(0)=33 mT. (delta-C/gamma*Tc) = 1.1			Superconductivity of Layered Organic Compound beta-(BDA-TTP)2SbF6, Where BDA-TTP is 2,5-Bis(1,3-dithian-2-ylidene)-1,3,4,6-tetrathiapentalene	2002		Physics Department, Kyoto University, Kyoto 606-8	J.Phys.Soc.Jpn, 71(2002)717	J.Yamada,T.Ishiguro,T.Toita,Y.Shimojo		
225	JPS0710717	SbF6	beta-(BDA-TTP)2SbF6		BDA-TTP							6.31			0						1.5	3		26	27000	64												H perpendicular to plane.			Superconductivity of Layered Organic Compound beta-(BDA-TTP)2SbF6, Where BDA-TTP is 2,5-Bis(1,3-dithian-2-ylidene)-1,3,4,6-tetrathiapentalene	2002		Physics Department, Kyoto University, Kyoto 606-8	J.Phys.Soc.Jpn, 71(2002)717	J.Yamada,T.Ishiguro,T.Toita,Y.Shimojo		
226	JPS0741529	I3	(MDT-ST)(I3)0.417	2	MDT-ST			25.286				4.3			0									278														coherence-L(1.6 K): //a=278, //b=205, //c=25 A. anisotropy (a vs c) = 10 at 1.6 K. lat-c measured at 18.5 K.			Anisotropic Three-dimensional Superconductivity of the Incommensurate Organic Superconductor (MDT-ST)(I3)0.417	2005		Department of Organic and Polymeric Materials, Graduate School of Science and Engineering, Tokyo Institute of Technology, O-okayama, Meguro-ku, Tokyo	J.Phys.Soc.Jpn, 74(2005)1529	T.Kawamoto,T.Mori,T.Terashima,S.Uji,A.Takamori,K.Takimiya,T.Otsubo		
227	P071054514	HgxBr4	kappa-(BEDT-TTF)2Hg1.445Br4	2	BEDT-TTF							3			0									70					55	200								best fit below 2K(gamma=55 mj/mol.K2, beta=32 mj/mol.K4, A=2.6 mj.K/mol. 1D-Debye = 200K, 3D-Debye = 6.5 K.			Anomalous enhancement of electronic heat capacity in the organic conductors kappa-(BEDT-TTF)4Hg3-zX8 (X=Br,Cl)	2005		Department of Chemistry, Tokyo Institute of Technology, O-okayama, Meguro-Ku, Tokyo 152-8551, Japan	Phys.Rev.B, 71(2005)054514	A.Naito,Y.Nakazawa,K.Saito,H.Taniguchi,K.Kanoda,M.Sorai		
228	P071054514	HgxBr4	kappa-(BEDT-TTF)2Hg1.39Cl4	2	BEDT-TTF															0.4									52									not SC			Anomalous enhancement of electronic heat capacity in the organic conductors kappa-(BEDT-TTF)4Hg3-zX8 (X=Br,Cl)	2005		Department of Chemistry, Tokyo Institute of Technology, O-okayama, Meguro-Ku, Tokyo 152-8551, Japan	Phys.Rev.B, 71(2005)054514	A.Naito,Y.Nakazawa,K.Saito,H.Taniguchi,K.Kanoda,M.Sorai		
229	JPC015L669	ClO4	(TMTSF)2ClO4	2	TMTSF							1.2			0																		OTHC229					T-independent thermal conductivity for 120 < T < 300K	OTHC229.dat		Magnetic field dependent thermal conductivity in the organic superconductor (TMTSF)2ClO4	1982			J.Phys.C: Solid State Phys., 15(1982)L669	D.Djurek,M.Prester,D.Jerome,K.Bechgaard		
230	P072052510	PF6	beta''-(DODHT)2PF6	2	DODHT							2.7	2.7		1.32																		OPH230					Tc by dc-resistance. P-T phase diagram in Fig.	OPH230.dat		Charge ordering and pressure-induced superconductivity in beta''-(DODHT)2PF6	2005		Graduate School of Pure and Applied Sciences, University of Tsukuba, 1-1-1 Tennoudai, Tsukuba, Ibaraki 305-8571, Japan	Phys.Rev.B, 72(2005)052510	H.Nishikawa,Y.Sato,K.Kikuchi,T.Kodama,I.Ikemoto,J.Yamada,H.Oshio,R.Kondo,S.Kagoshima		
231	P071172503	I3	(MDT-ST)(I3)0.417	2	MDT-ST	3.895	12.283	25.286	90	90	90	4.3			0																		OTP231					Raman. donor lattice const. measured at 18.5 K. Thermopower along a-axis. anisotropy(RT) = 20.	OTP231.dat		Structural and transport properties of the incommensurate organic superconductor (MDT-ST)(I3)0.417	2005		Department of Organic and Polymeric Materials, Graduate School of Science and Engineering, Tokyo Institute of Technology, O-okayama, Meguro-ku, Tokyo 152-8552, Japan	Phys.Rev.B, 71(2005)172503	T.Kawamoto,T.Mori,S.Uji,J.Yamaura,H.Kitagawa,A.Takamori,K.Takimiya,T.Otsubo		
232	P071212503	CuCl2	beta-(DMET)2CuCl2	2	DMET	7.023	7.586	14.868	80.18	89.31	70.492	0.8			0																							ac-resistance, magnetoresistance(MR), Hall effect were measured.			Quasi-one-dimensional electronic structure of (DMET)2CuCl2	2005		Department of Applied Physics, Nagoya University, Chikusa, Nagoya, 464-8603, Japan	Phys.Rev.B, 71(2005)212503	H.Ito,D.Suzuki,Y.Yokochi,S.Kuroda,M.Umemiya,H.Miyasaka,K-I.Sugiura,M.Yamashita,H.Tajima		
233	P071104525	(Fe,Ga)Cl4	ramda-(BETS)2Fe0.45Ga0.55Cl4	2	BETS							6			0							5																paramag-SC-Antiferro transition as decreasing T. Tc(R=0) = 4.2K.			Superconductivity and vortex phases in the two-dimensional organic conductor ramda-(BETS)2FrxGa1-xCl4 (x=0.45)	2005		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	Phys.Rev.B, 71(2005)104525	S.Uji,T.Terashima,Y.Terai,S.Yasuzuka,M.Tokumoto,H.Tanaka,A.Kobayashi,H.Kobayashi		
235	P072184505	FeCl4	ramda-(BETS)2FeCl4	3	BETS								5.5							0													OPH235					H-induced SC. H//ac plane(conducting). Tc(max) at H = 36 T. orbital critical field(Hc2) = 55  T.  RRR = 29 .	OPH235.dat		Magnetic-field-induced superconductivity and phase diagrams of ramda-(BETS)2FeCl4-xBrx	2005		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	Phys.Rev.B, 72(2005)184505	S.Uji,S.Yasuzuka,M.Tokumoto,H.Tanaka,A.Kobayashi,B.Zhang,H.Kobayashi,E.S.Choi,D.Graf,J.S.Brooks		
236	P072184505	FeCl3.6Br0.4	ramda-(BETS)2FeCl3.6Br0.4	3	BETS								2.3							0													OPH236					H-induced SC. H//ac plane(conducting). Tc(max) at H = 31 T. orbital critical field(Hc2) = 140  T.  RRR = 6.7 .	OPH236.dat		Magnetic-field-induced superconductivity and phase diagrams of ramda-(BETS)2FeCl4-xBrx	2005		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	Phys.Rev.B, 72(2005)184505	S.Uji,S.Yasuzuka,M.Tokumoto,H.Tanaka,A.Kobayashi,B.Zhang,H.Kobayashi,E.S.Choi,D.Graf,J.S.Brooks		
237	P072184505	FeCl3.5Br0.5	ramda-(BETS)2FeCl3.5Br0.5	3	BETS								3							0													OPH237					H-induced SC. H//ac plane(conducting). Tc(max) at H = 33 T. orbital critical field(Hc2) = 110  T.  RRR = 7.3.	OPH237.dat		Magnetic-field-induced superconductivity and phase diagrams of ramda-(BETS)2FeCl4-xBrx	2005		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	Phys.Rev.B, 72(2005)184505	S.Uji,S.Yasuzuka,M.Tokumoto,H.Tanaka,A.Kobayashi,B.Zhang,H.Kobayashi,E.S.Choi,D.Graf,J.S.Brooks		
238	P072184505	FeCl3.3Br0.7	ramda-(BETS)2FeCl3.3Br0.7	3	BETS								2.6							0													OPH238					H-induced SC. H//ac plane(conducting). Tc(max) at H = 34 T. orbital critical field(Hc2) =  100 T.  RRR = 6.6.	OPH238.dat		Magnetic-field-induced superconductivity and phase diagrams of ramda-(BETS)2FeCl4-xBrx	2005		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	Phys.Rev.B, 72(2005)184505	S.Uji,S.Yasuzuka,M.Tokumoto,H.Tanaka,A.Kobayashi,B.Zhang,H.Kobayashi,E.S.Choi,D.Graf,J.S.Brooks		
